NRIC,researcher_name,sector,salary,degree
T4632965N,Nicole Kallman,Engineering,5016,Bachelors
T9804006O,Nancy Gonzales,Healthcare,11830,Post-grad
T2934239H,Joseph Rigby,Engineering,8520,Masters
S6248584N,Michelle Sheriff,Healthcare,4354,Bachelors
G8665162J,Lester Odonnell,Healthcare,6871,Bachelors
T8763562J,Anthony Rodriguez,Engineering,6406,PhD
T7277064M,Yvonne Taylor,Engineering,4920,Masters
F2058922T,Kenneth King,Engineering,7864,PhD
F3081782S,Irene Crittenden,Agricultural,4905,Non-degree
F8466569H,Kristy Hutchison,Healthcare,11433,Post-grad
T3223954A,Richard Borrell,Aerospace,4970,Bachelors
S5477192M,Martha Frink,Aerospace,8710,PhD
F1369179G,John Rogers,Healthcare,4616,Post-grad
F0489109Z,Elba Garcia,Engineering,7101,Bachelors
G9566054V,Jeff Moore,Engineering,7888,PhD
G1268817N,Donna Russ,Engineering,9468,Masters
F7887990Q,Rico Wilks,Agricultural,4642,Bachelors
T3944033Z,Kelly Dykstra,Engineering,7320,Non-degree
T2771079F,William Sawyer,Engineering,9529,Bachelors
T5264421V,Michael Szymansky,Engineering,5659,Masters
G0068506B,Lovella Young,Agricultural,6836,Masters
G2536792V,Linda Geralds,Aerospace,7496,Post-grad
G1541341R,Betty Jordan,Engineering,7651,Non-degree
S2878898T,Michael Dornier,Agricultural,7173,PhD
G6973945X,Barbara Madison,Agricultural,10223,PhD
S6803262V,Tanya Pearson,Engineering,9778,Bachelors
T0004345P,Patty Little,Aerospace,6530,Masters
T7790421Z,Nora Gokey,Healthcare,10563,Bachelors
G4561705K,Aubrey Moore,Healthcare,7984,Post-grad
G1971315V,Justin Green,Agricultural,4458,Bachelors
G1131640E,Mary Klein,Healthcare,11634,Non-degree
T9928584N,Joshua Renner,Engineering,8631,Post-grad
G1923555Q,Rosemarie Clements,Engineering,11797,Post-grad
S0827611M,Clara Gonzales,Agricultural,5370,PhD
F8372679Z,Jason Henle,Engineering,4705,Bachelors
F5182752N,Reggie Franklin,Healthcare,6903,Bachelors
T9946615I,Monty Blodgett,Healthcare,8736,PhD
T6706672W,Thomas Strickland,Aerospace,6063,Masters
S3566576M,Doreen Murray,Agricultural,11495,Masters
T9376984J,Thomas Cummings,Engineering,10343,Non-degree
S1232484C,Jeanette Young,Agricultural,9051,Bachelors
T4361930I,Homer Davis,Aerospace,7275,PhD
F5454438V,Jo Leach,Agricultural,4291,Bachelors
