NRIC,researcher_name,sector,income,degree
T4928440Y,Carrie Anson,Aerospace,3223,PhD
G9648147P,Kathy Walters,Healthcare,5677,Post-grad
G6560002Y,Michael Ingram,Engineering,5120,Bachelors
T0330257Q,Peggy Sanderson,Agricultural,10665,Post-grad
F8231916H,Jean Gilley,Agricultural,6153,Non-degree
F6445016O,Russell Russ,Agricultural,6522,Non-degree
T7798412Y,Rick Thiel,Healthcare,8756,Masters
S7557401L,Jennifer Arnold,Engineering,3978,Masters
T3506875V,Katie Teodoro,Healthcare,5888,Non-degree
T8030660U,Charles Colby,Aerospace,4006,Masters
G9188804P,Clarissa Soto,Healthcare,5865,PhD
G2618577J,Charles Chapa,Aerospace,3779,Masters
T1696911D,Frances Dawood,Aerospace,3146,PhD
S2437080M,Bradley Ramirez,Healthcare,6480,Masters
G8185151Y,Stella Carlone,Aerospace,3006,PhD
F3864969E,Gina Davis,Engineering,6706,Non-degree
F6349639H,Jennifer Vazquez,Agricultural,4788,PhD
S2562644N,Janelle Kerr,Agricultural,3104,Post-grad
S0043963Q,Arlene Gillette,Engineering,4437,Masters
S2147648T,Joseph Flores,Healthcare,14913,Bachelors
G0952460M,Curtis Colletti,Healthcare,3809,Non-degree
F5480999F,Mary Cooper,Healthcare,3717,Bachelors
S8050679W,Hailey Hein,Agricultural,6904,PhD
F6941994A,Brian Bankston,Aerospace,5273,Masters
T7746401S,Jeffrey Fricks,Aerospace,6391,Non-degree
G1981976X,Edward Grimmer,Healthcare,6631,Masters
F3130056M,Elma Pacheco,Aerospace,4066,Bachelors
T8581029R,Charlotte Watson,Aerospace,4184,PhD
T7745544X,Michael Mitchell,Agricultural,6590,Non-degree
S6176410P,Robert Adams,Agricultural,3627,Post-grad
G4428589W,Jessica Bailey,Agricultural,7994,PhD
G0438748C,Ruth Scott,Engineering,6378,Non-degree
T4824983R,Classie Wengerd,Agricultural,5493,Masters
T4975435I,Tiffany Camp,Aerospace,4300,Bachelors
T6346042M,Ernest Foster,Healthcare,5343,Masters
G9157473E,Mary Gonzalez,Aerospace,9677,PhD
G6725097K,Barbra Fornes,Agricultural,6959,PhD
F2031519J,Denise Thomas,Agricultural,3912,Masters
T3140557J,Elizabeth Day,Healthcare,6580,Post-grad
F0495876I,Tammy Abron,Agricultural,4946,PhD
S4485161U,Clark Jimenez,Aerospace,3921,PhD
G9056128B,Carolyn Olivarez,Aerospace,12718,Post-grad
T6192972Y,Joaquin Huff,Healthcare,3259,Non-degree
T4772735F,Esteban Hazelton,Engineering,3291,Masters
T8486802W,Richard Perrien,Agricultural,3325,Post-grad
F7006423S,Scott Ramirez,Engineering,8496,Bachelors
