NRIC,researcher_name,sector,salary,degree
G5629588W,Justin Smith,Healthcare,7632,Masters
S6111665R,Milton Dunn,Agricultural,13832,Post-grad
S9246827E,Edmund Volante,Agricultural,9010,PhD
T3962425J,Vicki Mcalpine,Aerospace,12823,Non-degree
T2736605S,John Walker,Aerospace,14431,Bachelors
F6320719Z,Connie Thomson,Agricultural,6549,Post-grad
G1978827T,Anna Reynolds,Healthcare,10554,Post-grad
S3962825E,Clare Riley,Agricultural,5626,Non-degree
T5219183N,Carmen Willey,Healthcare,10891,Masters
F2074020T,Edgar Lopez,Engineering,11768,Bachelors
G5797650S,William Badami,Healthcare,11520,Non-degree
S7026614P,Steven Lewis,Aerospace,9473,Masters
F5438403C,Rachel Layden,Healthcare,13768,Post-grad
S5788448Q,Gerald Bowman,Engineering,4354,Masters
G5136614R,Gwendolyn Slaughenhoupt,Aerospace,4147,Bachelors
T8154517Y,James Fowler,Engineering,4802,Non-degree
G4517427I,Alicia Hauck,Agricultural,3981,PhD
F0870537Q,Amy Tate,Engineering,11003,Masters
F5325822W,Dorothy Robbins,Agricultural,4943,Bachelors
S3871183Q,Sarah King,Aerospace,10123,Bachelors
S8269991L,Mark Kingery,Aerospace,11200,Non-degree
T6229045B,Ashley Damon,Aerospace,14933,PhD
F0953247C,John Crandall,Healthcare,11401,Masters
S9883457E,Douglas Nightingale,Aerospace,8489,PhD
S4737034H,Rodney Johnson,Healthcare,6376,Non-degree
G3489078A,Candy Flynn,Healthcare,5775,Non-degree
T1086166S,Lois Leonard,Agricultural,3065,Non-degree
G1803847J,Laila Pearson,Healthcare,11133,Non-degree
G1720523L,Diana Croft,Healthcare,10433,Masters
G5026140X,Guadalupe Gary,Healthcare,14666,Non-degree
F3021330I,Josh Oneal,Aerospace,5876,Bachelors
S9897323V,Philip Campbell,Healthcare,13636,Masters
T1495138I,Sheryl Howell,Aerospace,13731,Bachelors
G2173819F,Geneva Bonnette,Agricultural,13198,Post-grad
S9892852V,Mildred Corbin,Healthcare,13293,Non-degree
F4354570R,Pamela Williams,Healthcare,4857,PhD
F2894390F,Joseph Richards,Engineering,9314,PhD
G7319494N,Donna Towne,Agricultural,6729,Post-grad
T2137448E,Glenda Raley,Healthcare,9516,Post-grad
S6688856C,Joseph Wells,Engineering,13092,Non-degree
G2604351M,Connie Hildreth,Aerospace,4000,Non-degree
T8019037O,Bonnie Hauser,Engineering,12819,Post-grad
S7627211K,Carl Griffin,Healthcare,7622,PhD
T8150070Y,Marian Williams,Engineering,6179,Bachelors
F8241636W,Avis Hunstad,Aerospace,9118,Masters
F9530536L,Lawrence Smith,Aerospace,14838,PhD
T3792294U,Steven Collins,Aerospace,11008,PhD
G7585421Q,Ruth Deleon,Engineering,12672,Post-grad
T4393894T,Beatriz Yates,Aerospace,8615,Bachelors
F6248060L,Michelle Porter,Aerospace,5122,Masters
T1097949I,William Chandler,Agricultural,6872,PhD
T7279316T,Fred Gardner,Engineering,7789,PhD
S8316164U,Brandi Chandler,Agricultural,8907,Bachelors
T5829115S,Stephanie Madan,Healthcare,9635,PhD
S5195985D,Aaron Sumners,Agricultural,8105,Non-degree
F9468081J,Raphael Whitcomb,Engineering,14465,Masters
G5960903Q,Roy Numbers,Aerospace,8422,Non-degree
S0114487P,Billy Hartley,Engineering,14695,PhD
T2279314E,Dennis Hudson,Engineering,7081,Bachelors
G2518891D,Roderick Manning,Aerospace,6990,Non-degree
G9651596Z,Jamie Cain,Aerospace,4661,Non-degree
F1861998P,Mildred Mitchell,Aerospace,6109,PhD
F4520720L,Ramon Howell,Engineering,4185,Masters
S9573086M,Cynthia Haggett,Healthcare,7777,Non-degree
T0038763E,Curtis Streeter,Healthcare,9265,Post-grad
F5235408Y,Gerald Pate,Engineering,6166,Bachelors
G2817829B,Dorothy Carrillo,Aerospace,13124,Non-degree
F4887024A,George Hedgepeth,Healthcare,10521,Masters
G2336012E,Joyce Troiano,Healthcare,6073,Masters
S8029557R,Lori Jackson,Aerospace,11725,Masters
G4338529L,Araceli Franco,Agricultural,10517,PhD
T3154981R,Paul Culver,Agricultural,9247,Bachelors
T1658557U,Maria Harris,Engineering,6040,Post-grad
F7089492M,Mildred Ireland,Engineering,7130,Masters
G0815389S,Susan Sidhu,Agricultural,10194,Bachelors
F7083084Y,Aaron Cotton,Healthcare,11416,PhD
T0628525W,Owen Devault,Healthcare,8965,Post-grad
F7627672Q,Barry Adams,Engineering,5963,Bachelors
S1855106P,Madeleine Pikula,Agricultural,14287,Masters
G9013329A,Bruce Austin,Healthcare,6416,Masters
G7404405A,Ray King,Engineering,9195,Bachelors
T9245382Y,John Teaff,Engineering,13477,Post-grad
S8333804Y,Yvette Howard,Agricultural,7674,Masters
G5930621W,Louise Morgan,Engineering,4980,Bachelors
F6098527T,Wilbert Valenzuela,Healthcare,4766,Bachelors
T0022330T,Hugh Loo,Healthcare,13851,PhD
F9334617P,Meredith Clark,Agricultural,6666,PhD
S9278123C,Ken Barnes,Healthcare,11583,Bachelors
S8345525E,Lucy Bjorseth,Engineering,9966,PhD
T1274821I,Anne Ryans,Aerospace,11812,Post-grad
F2202266P,Daniel Oland,Healthcare,8926,Non-degree
T7471879K,Shannon Ned,Healthcare,7670,Bachelors
G2330021L,Mark Krock,Aerospace,9177,Bachelors
G0005770S,Helen Jones,Healthcare,11026,PhD
F4861750H,Barbara Hoffman,Healthcare,11185,Masters
T8375170I,Alyssa Sims,Engineering,4344,Post-grad
S7006776W,Fred Wilson,Healthcare,14825,Bachelors
G7294103N,Elizabeth Reyna,Healthcare,13269,Non-degree
T6093945U,Mark Earwood,Agricultural,6663,Post-grad
F3121944M,Thomas Williams,Agricultural,11383,Masters
S3410528P,James Downing,Aerospace,13885,Post-grad
G2638776C,Thomas Blankenship,Healthcare,7383,Post-grad
F3203805X,Jason Shade,Engineering,13925,Post-grad
F1467478U,Deborah Rounds,Engineering,3642,Post-grad
S4205876Q,Andy Leffew,Agricultural,8887,Masters
F3156644L,Michael Pate,Aerospace,10166,PhD
G9862479H,Carolyn Pavlick,Engineering,12031,Non-degree
S3186296F,Trisha May,Healthcare,14266,Masters
F4957482S,Omar Tutt,Agricultural,9709,Masters
